  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  1.2000e-13         50.8381624985                     0        1159.19382452        -18935.5324025         -17776.338578 
  1.2500e-13         50.0736543304                     0        1141.76177931        -18900.6847083         -17758.922929 
  1.3000e-13         49.6367441842                     0        1131.79950848        -18880.7999491        -17749.0004406 
  1.3500e-13         49.5134038426                     0        1128.98714557        -18875.2349711        -17746.2478256 
  1.4000e-13         49.6825468406                     0        1132.84388447        -18883.0241199        -17750.1802354 
  1.4500e-13         50.1173950924                     0        1142.75914071        -18902.9419053        -17760.1827646 
  1.5000e-13         50.7869477764                     0        1158.02604452        -18933.5702933        -17775.5442488 
  1.5500e-13         51.6574515716                     0        1177.87496458        -18973.3659952        -17795.4910307 
  1.6000e-13         52.6937909698                     0        1201.50520949         -19020.724039        -17819.2188296 
  1.6500e-13         53.8607406643                     0        1228.11358424        -19074.0349797        -17845.9213955 
  1.7000e-13         55.1240448182                     0        1256.91899934        -19131.7341551        -17874.8151557 
  1.7500e-13         56.4513075665                     0        1287.18277572        -19192.3422883        -17905.1595126 
  1.8000e-13         57.8126940848                     0        1318.22463025        -19254.4974223        -17936.2727921 
  1.8500e-13         59.1814518392                     0         1349.4345611        -19316.9786363        -17967.5440753 
  1.9000e-13         60.5342677213                     0        1380.28099101        -19378.7222724        -17998.4412814 
  1.9500e-13         61.8514795191                     0        1410.31558916          -19438.83152        -18028.5159308 
  2.0000e-13         63.1171603679                     0        1439.17519682        -19496.5802144        -18057.4050175 
  2.0500e-13         64.3190932288                     0        1466.58124537        -19551.4116301        -18084.8303848 
  2.1000e-13         65.4486497301                     0        1492.33699374        -19602.9329238        -18110.5959301 
  2.1500e-13         66.5005845887                     0        1516.32284083        -19650.9057363        -18134.5828955 
  2.2000e-13         67.4727541094                     0        1538.48990685        -19695.2333393        -18156.7434325 
  2.2500e-13         68.3657657872                     0        1558.85204371        -19735.9446381        -18177.0925943 
  2.3000e-13         69.1825666281                     0        1577.47644798        -19773.1753708        -18195.6989228 
  2.3500e-13         69.9279809656                     0        1594.47312241        -19807.1469874         -18212.673865 
  2.4000e-13         70.6082142968                     0        1609.98356256        -19838.1439543        -18228.1603917 
  2.4500e-13           71.23034709                     0        1624.16921476        -19866.4905781        -18242.3213633 
  2.5000e-13         71.8018496955                     0        1637.20041531        -19892.5287774        -18255.3283621 
  2.5500e-13         72.3301535668                     0        1649.24661358        -19916.5984265        -18267.3518129 
  2.6000e-13         72.8223120325                     0        1660.46863708        -19939.0218116        -18278.5531745 
  2.6500e-13         73.2847742631                     0        1671.01353751        -19960.0932998        -18289.0797623 
  2.7000e-13         73.7232798885                     0        1681.01218789        -19980.0745706        -18299.0623827 
  2.7500e-13         74.1428628899                     0        1690.57937129        -19999.1948804        -18308.6155091 
  2.8000e-13         74.5479373434                     0         1699.8157359        -20017.6550869         -18317.839351 
  2.8500e-13         74.9424288501                     0        1708.81079189        -20035.6337554        -18326.8229635 
  2.9000e-13         75.3299156907                     0        1717.64612997        -20053.2936817        -18335.6475517 
  2.9500e-13         75.7137512542                     0        1726.39821291        -20070.7875263        -18344.3893134 
  3.0000e-13         76.0971504808                     0        1735.14034665        -20088.2617708        -18353.1214242 
  3.0500e-13         76.4832342045                     0        1743.94369135        -20105.8587292        -18361.9150379 
  3.1000e-13         76.8750339273                     0        1752.87737024        -20123.7167385        -18370.8393683 
  3.1500e-13         77.2754649227                     0        1762.00785636        -20141.9688985        -18379.9610422 
  3.2000e-13          77.687278066                     0        1771.39787419        -20160.7408413        -18389.3429671 
  3.2500e-13         78.1130013251                     0        1781.10506558        -20180.1480308        -18399.0429652 
  3.3000e-13         78.5548812496                     0        1791.18065554         -20200.293067        -18409.1124115 
  3.3500e-13         79.0148335443                     0         1801.6683253        -20221.2634096        -18419.5950843 
  3.4000e-13         79.4944100708                     0        1812.60345986         -20243.129857        -18430.5263972 
  3.4500e-13          79.994787322                     0        1824.01288521        -20265.9460148        -18441.9331296 
  3.5000e-13         80.5167784886                     0        1835.91514341        -20289.7488494         -18453.833706 
  3.5500e-13         81.0608676653                     0        1848.32127264        -20314.5602652        -18466.2389925 
  3.6000e-13         81.6272607233                     0        1861.23596709        -20340.3894536        -18479.1534865 
  3.6500e-13         82.2159432914                     0        1874.65889908        -20367.2355782        -18492.5766791 
  3.7000e-13         82.8267328609                     0         1888.5859071        -20395.0901983        -18506.5042912 
  3.7500e-13         83.4593102744                     0        1903.00971385        -20423.9387491        -18520.9290353 
  3.8000e-13         84.1132170599                     0         1917.9198654        -20453.7604498        -18535.8405844 
  3.8500e-13         84.7878103456                     0        1933.30170323        -20484.5262461        -18551.2245429 
  3.9000e-13         85.4821766382                     0        1949.13439817        -20516.1948388        -18567.0604406 
  3.9500e-13         86.1950179703                     0        1965.38835444        -20548.7074136        -18583.3190592 
  4.0000e-13         86.9245350906                     0        1982.02254614        -20581.9822188        -18599.9596727 
  4.0500e-13         87.6683376982                     0        1998.98247048        -20615.9103868        -18616.9279163 
  4.1000e-13         88.4234077558                     0        2016.19931123        -20650.3542189        -18634.1549076 
  4.1500e-13         89.1861289636                     0         2033.5906108        -20685.1485429        -18651.5579321 
  4.2000e-13         89.9523782139                     0        2051.06235556        -20720.1049457        -18669.0425901 
  4.2500e-13         90.7176600935                     0        2068.51204267        -20755.0179892        -18686.5059465 
  4.3000e-13         91.4772586094                     0        2085.83213973        -20789.6722036        -18703.8400638 
  4.3500e-13         92.2263826056                     0        2102.91340049        -20823.8487619        -18720.9353614 
  4.4000e-13         92.9602901928                     0        2119.64770206        -20857.3311627        -18737.6834606 
  4.4500e-13         93.6743884965                     0        2135.93031935        -20889.9097567        -18753.9794373 
  4.5000e-13         94.3643142678                     0         2151.6617631        -20921.3853859        -18769.7236228 
  4.5500e-13         95.0260062223                     0        2166.74942933        -20951.5726427        -18784.8232134 
  4.6000e-13           95.65578087                     0         2181.1093284        -20980.3032984          -18799.19397 
  4.6500e-13         96.2504205532         80467840.7927        2194.66809242        -21007.4303086        -18812.7622162 
  4.7000e-13         96.8082694541                     0        2207.38796602        -21032.8778459        -18825.4898798 
  4.7500e-13         97.3262104605                     0         2219.1978739         -21056.503368        -18837.3054941 
  4.8000e-13         97.8030579159                     0        2230.07078115        -21078.2525064        -18848.1817253 
  4.8500e-13         98.2385051661                     0        2239.99969554        -21098.1111058        -18858.1114103 
  4.9000e-13         98.6331682498                     0        2248.99866378        -21116.1072812        -18867.1086174 
  4.9500e-13         98.9885660343         94972998.7278        2257.10231853        -21132.3105519        -18875.2082334 
  5.0000e-13         99.3076618693                     0        2264.37822905        -21146.8565515        -18882.4783224 
  5.0500e-13         99.5927711376                     0        2270.87918988        -21159.8515287        -18888.9723388 
  5.1000e-13         99.8472694377                     0        2276.68217023        -21171.4501895        -18894.7680192 
  5.1500e-13          100.07468522                     0        2281.86762457        -21181.8141924        -18899.9465678 
  5.2000e-13         100.278447435                     0        2286.51373863        -21191.1005341        -18904.5867955 
  5.2500e-13         100.461672705                     0        2290.69157652        -21199.4517729        -18908.7601964 
  5.3000e-13         100.627014591                     0        2294.46164378         -21206.989138        -18912.5274943 
  5.3500e-13         100.776581191                     0        2297.87200859        -21213.8088049        -18915.9367964 
  5.4000e-13         100.911911869                     0         2300.9577709        -21219.9808958        -18919.0231249 
  5.4500e-13         101.033994892                     0        2303.74146487        -21225.5503446        -18921.8088797 
  5.5000e-13         101.143307782                     0        2306.23397878        -21230.5387709        -18924.3047921 
  5.5500e-13         101.239869479                     0        2308.43574448        -21234.9468588        -18926.5111143 
  5.6000e-13         101.323303596                     0        2310.33817975        -21238.7572139        -18928.4190341 
  5.6500e-13         101.392919893                     0        2311.92554595        -21241.9380452        -18930.0124992 
  5.7000e-13         101.447823031         53725445.4224        2313.17742791        -21244.4481065        -18931.2706786 
  5.7500e-13         101.488142754                     0        2314.09678401         -21246.292813         -18932.196029 
  5.8000e-13         101.511919697                     0        2314.63893746        -21247.3822638        -18932.7433264 
  5.8500e-13         101.518575579                     0        2314.79070253        -21247.6895745         -18932.898872 
  5.9000e-13         101.507976655                     0         2314.5490296        -21247.2082474        -18932.6592178 
  5.9500e-13         101.480560582         77381903.0011        2313.92389799        -21245.9580247        -18932.0341267 
  6.0000e-13         101.439334088                     0        2312.98386605        -21244.0762211         -18931.092355 
  6.0500e-13         101.383732605                     0        2311.71606065        -21241.5371328        -18929.8210722 
  6.1000e-13         101.315971969                     0        2310.17100659        -21238.4421906        -18928.2711841 
  6.1500e-13          101.23869804                     0        2308.40903375         -21234.912531        -18926.5034972 
  6.2000e-13         101.154827518                     0        2306.49664772        -21231.0816594        -18924.5850116 
  6.2500e-13         101.067381092         68892508.7299         2304.5027252        -21227.0877759        -18922.5850507 
  6.3000e-13         100.982359373         169562217.575           2302.56409        -21223.2049043        -18920.6408143 
  6.3500e-13         100.901715041         91051991.6462        2300.72526642        -21219.5225016        -18918.7972352 
  6.4000e-13          100.83013437         137291796.436        2299.09310925        -21216.2543152        -18917.1612059 
  6.4500e-13         100.769333836         76790530.7918        2297.70675696        -21213.4787625        -18915.7720055 
  6.5000e-13          100.71870633                     0        2296.55236643        -21211.1681928        -18914.6158264 
  6.5500e-13         100.677880215         174120187.506        2295.62146378        -21209.3056754        -18913.6842117 
  6.6000e-13          100.65335634          55952001.337        2295.06227904         -21208.187731        -18913.1254519 
  6.6500e-13         100.640958227                     0        2294.77958165          -21207.62387        -18912.8442884 
  6.7000e-13          100.63944682                     0        2294.74511908        -21207.5574317        -18912.8123126 
  6.7500e-13         100.648448315          184333714.89        2294.95036799        -21207.9712346        -18913.0208667 
  6.8000e-13         100.672529347         54293960.8843        2295.49945517        -21209.0735308        -18913.5740756 
  6.8500e-13         100.707723186                     0        2296.30193266        -21210.6831175        -18914.3811849 
  6.9000e-13         100.750217436         138303134.855        2297.27087154        -21212.6259578        -18915.3550863 
  6.9500e-13         100.801028078                     0        2298.42943787        -21214.9485213        -18916.5190834 
  7.0000e-13         100.855620722                     0        2299.67424003        -21217.4436942        -18917.7694542 
  7.0500e-13         100.912322256                     0        2300.96712839        -21220.0351316        -18919.0680032 
  7.1000e-13         100.969409216          93534525.906        2302.26880509        -21222.6442185        -18920.3754134 
  7.1500e-13         101.027596522         44072793.5268         2303.5955715        -21225.3036724        -18921.7081009 
  7.2000e-13         101.083913385         136421853.715         2304.8796887        -21227.8779025        -18922.9982138 
  7.2500e-13         101.138079781                     0        2306.11477175        -21230.3541346        -18924.2393629 
  7.3000e-13         101.185173169                     0        2307.18857854        -21232.5078534        -18925.3192749 
  7.3500e-13         101.223380989         146989078.743        2308.05977976        -21234.2563877         -18926.196608 
  7.4000e-13         101.253330191                     0        2308.74267088        -21235.6284289         -18926.885758 
  7.4500e-13         101.270582567                     0        2309.13605347        -21236.4214422        -18927.2853887 
  7.5000e-13         101.273396456         52543282.4566        2309.20021476        -21236.5559339        -18927.3557191 
  7.5500e-13         101.260786313         50478875.5636        2308.91268274        -21235.9868325        -18927.0741498 
  7.6000e-13         101.233044644         114192522.871        2308.28012701         -21234.727285         -18926.447158 
  7.6500e-13         101.189872318          184462270.04        2307.29572687        -21232.7634574        -18925.4677305 
  7.7000e-13         101.132587048          57767040.799        2305.98952838        -21230.1552487        -18924.1657203 
  7.7500e-13          101.05589851         172816247.226        2304.24090342        -21226.6610932        -18922.4201898 
  7.8000e-13         100.959467989         199581971.051        2302.04212876        -21222.2654666        -18920.2233379 
  7.8500e-13           100.8448229                     0        2299.42803193        -21217.0378541        -18917.6098221 
  7.9000e-13         100.708132571                     0        2296.31126733        -21210.8034571        -18914.4921898 
  7.9500e-13         100.550485537         82852587.3358        2292.71665534        -21203.6119552        -18910.8952998 
  8.0000e-13         100.376412828         64663370.5657         2288.7475109        -21195.6700614        -18906.9225505 
  8.0500e-13         100.186766132         62818096.0255        2284.42325393        -21187.0167833        -18902.5935294 
  8.1000e-13         99.9846618036         40673745.1371        2279.81494242        -21177.7944403        -18897.9794979 
  8.1500e-13         99.7716087462          145899561.29        2274.95698186         -21168.072042        -18893.1150602 
  8.2000e-13         99.5363654888         52575189.9637         2269.5930482        -21157.3359233        -18887.7428751 
  8.2500e-13         99.2963476753         26785077.4103        2264.12024679        -21146.3817773        -18882.2615305 
  8.3000e-13          99.053958372         44394650.1359        2258.59337151        -21135.3195722        -18876.7262007 
  8.3500e-13         98.8143878735         48920596.8575        2253.13076963        -21124.3863182        -18871.2555485 
  8.4000e-13         98.5804259592         99841331.5092         2247.7960527         -21113.709426        -18865.9133734 
  8.4500e-13         98.3592471048          47265490.834        2242.75281058        -21103.6160955         -18860.863285 
  8.5000e-13         98.1507781201                     0        2237.99937443        -21094.1028411        -18856.1034666 
  8.5500e-13         97.9561107428                     0        2233.56063765          -21085.21916        -18851.6585224 
  8.6000e-13         97.7780846865                     0         2229.5013504        -21077.0942647        -18847.5929143 
  8.6500e-13          97.619512631                     0        2225.88564639        -21069.8562577        -18843.9706113 
  8.7000e-13         97.4832195546                     0        2222.77793981         -21063.634066        -18840.8561262 
  8.7500e-13         97.3719980654         26645073.5946         2220.2419067        -21058.5554898        -18838.3135832 
  8.8000e-13         97.2890634756                     0        2218.35086147        -21054.7679391        -18836.4170776 
  8.8500e-13         97.2359333579                     0         2217.1394073        -21052.3415521        -18835.2021448 
  8.9000e-13         97.2140396775         50761698.2419        2216.64019533        -21051.3424834        -18834.7022881 
  8.9500e-13          97.223115878                     0        2216.84714765         -21051.759013        -18834.9118653 
  9.0000e-13         97.2630606632                     0        2217.75795453        -21053.5865792        -18835.8286246 
  9.0500e-13          97.332007239         31399035.5252           2219.33005        -21056.7395623        -18837.4095123 
  9.1000e-13         97.4275743498         134108345.848         2221.5091375        -21061.1085616        -18839.5994241 
  9.1500e-13         97.5439479921          46993105.598        2224.16264819        -21066.4274949        -18842.2648467 
  9.2000e-13         97.6801037112                     0         2227.2672228        -21072.6490391        -18845.3818163 
  9.2500e-13         97.8301042349                     0        2230.68748176        -21079.5019255        -18848.8144437 
  9.3000e-13         97.9896449512          42377817.227        2234.32527282        -21086.7895855        -18852.4643127 
  9.3500e-13         98.1560133606         46175612.2736        2238.11874653        -21094.3881886        -18856.2694421 
  9.4000e-13         98.3245817272         56844353.0384        2241.96238289        -21102.0865444        -18860.1241615 
  9.4500e-13         98.4928848836         131755971.209        2245.79997201        -21109.7720518        -18863.9720798 
  9.5000e-13         98.6515871828         61568287.0643        2249.41864578        -21117.0187439        -18867.6000981 
  9.5500e-13         98.8011420114         41643130.7951        2252.82874216         -21123.846914        -18871.0181719 
  9.6000e-13         98.9389675201         73259641.7839        2255.97139073        -21130.1385928        -18874.1672021 
  9.6500e-13          99.054039784                     0        2258.59522784        -21135.3908972        -18876.7956694 
  9.7000e-13         99.1522355188         59873855.6028         2260.8342523        -21139.8719036        -18879.0376513 
  9.7500e-13         99.2281845781         65545500.6983        2262.56601593        -21143.3367386        -18880.7707227 
  9.8000e-13         99.2872981739         133043291.212        2263.91390326        -21146.0323566        -18882.1184534 
  9.8500e-13         99.3326768489         67949306.3219        2264.94861178        -21148.1002723        -18883.1516605 
  9.9000e-13          99.358256017                     0        2265.53185893        -21149.2641498        -18883.7322908 
  9.9500e-13         99.3654375909         118461652.351        2265.69561064        -21149.5877158        -18883.8921052 
  1.0000e-12          99.359604739                     0        2265.56261202        -21149.3164927        -18883.7538807 
